Question,Hint,Answer
,,
What is the AWS shared responsibility model?,AWS secures the cloud; the customer secures what they put in the cloud.,A model that divides security responsibilities between AWS and the customer.
What does AWS mean by security 'of' the cloud?,Think about the infrastructure AWS operates.,"AWS is responsible for protecting the underlying infrastructure, including hardware, software, networking, and facilities that run AWS Cloud services."
What does the customer secure under the shared responsibility model?,Think about configuration and customer-controlled resources.,"The customer is responsible for security in the cloud, such as data, identities, access controls, and configurations depending on the service."
What is the customer's responsibility when using Amazon EC2?,"With EC2, you control much more than with a fully managed service.","The customer is responsible for the guest operating system, applications, data, security groups, and other configurations within the instance."
What is AWS responsible for when providing Amazon EC2?,AWS still owns the physical infrastructure.,"AWS is responsible for the physical hosts, networking, facilities, and virtualization infrastructure."
How does the shared responsibility model change for managed services such as Amazon S3?,"The more AWS manages, the more infrastructure responsibility shifts to AWS.","AWS manages more of the underlying infrastructure, while the customer remains responsible for data, permissions, and service-specific configuration."
What is the AWS Cloud value proposition?,Think why organizations move from traditional data centers to AWS.,"AWS provides on-demand resources, elasticity, global reach, managed services, agility, and a pay-as-you-go consumption model."
What is elasticity in cloud computing?,Think automatically adding and removing resources as demand changes.,The ability to increase or decrease resources to match demand.
What is scalability?,Think ability to handle increasing workload.,The ability of a system to accommodate increased workload by adding resources.
What is the difference between elasticity and scalability?,One emphasizes changing capacity with demand; the other emphasizes growing capacity.,Elasticity is the ability to dynamically adjust resources to demand; scalability is the ability to increase capacity to handle growth.
What is high availability?,Think keeping a service accessible despite failures.,Designing systems so they remain operational and accessible with minimal downtime.
What is fault tolerance?,Think continuing operation even when a component fails.,The ability of a system to continue operating despite the failure of a component.
What is agility in the AWS Cloud?,Think speed of making changes and obtaining resources.,"The ability to rapidly provision resources, experiment, and adapt to changing requirements."
What is economies of scale in cloud computing?,AWS buys infrastructure at enormous scale.,Lower per-unit costs achieved because AWS operates infrastructure at very large scale.
What is the benefit of variable expense in cloud computing?,You pay based on consumption instead of buying everything upfront.,Costs can vary with actual usage rather than requiring large upfront infrastructure purchases.
What is capital expenditure (CapEx)?,Think buying physical infrastructure upfront.,Spending money upfront on physical assets such as servers and data-center equipment.
What is operational expenditure (OpEx)?,Think ongoing operating costs.,Spending associated with operating and consuming resources rather than purchasing major physical assets upfront.
What is the AWS pay-as-you-go model?,You pay for what you consume.,A pricing model in which customers pay for AWS resources based largely on their actual usage.
What is infrastructure as code (IaC)?,Think defining infrastructure in files instead of manually clicking everything.,Managing and provisioning infrastructure through machine-readable configuration or code.
What is the AWS Cloud Adoption Framework (AWS CAF)?,Think organizational guidance for moving to and adopting AWS.,A framework that provides guidance for organizations to transform and accelerate business outcomes through AWS Cloud adoption.
What are the six perspectives of AWS CAF?,"Think business, people, governance, platform, security, and operations.","Business, People, Governance, Platform, Security, and Operations."
What is the AWS Well-Architected Framework?,Think AWS's framework for evaluating cloud workloads.,A framework for designing and reviewing cloud workloads using established architectural best practices.
What are the six pillars of the AWS Well-Architected Framework?,"Remember operational, security, reliability, performance, cost, and sustainability.","Operational Excellence, Security, Reliability, Performance Efficiency, Cost Optimization, and Sustainability."
What is the Operational Excellence pillar?,Think running and improving workloads effectively.,The ability to run and monitor systems to deliver business value and continually improve supporting processes and procedures.
What is the Security pillar of the Well-Architected Framework?,Think protecting information and systems.,"Protecting information, systems, and assets while delivering business value through risk assessments and security controls."
What is the Reliability pillar?,Think recovery from failures.,Ensuring workloads perform their intended functions correctly and consistently and can recover from failures.
What is the Performance Efficiency pillar?,Think using resources efficiently as requirements change.,Using computing resources efficiently to meet system requirements and maintaining that efficiency as demand and technology change.
What is the Cost Optimization pillar?,Think avoiding unnecessary cloud spending.,Running systems to deliver business value at the lowest price point appropriate for the organization.
What is the Sustainability pillar?,Think reducing environmental impact.,Minimizing environmental impacts of running cloud workloads.
What are the three common cloud deployment models?,"Think public, private, and hybrid.","Public cloud, private cloud, and hybrid cloud."
What is a public cloud?,Think AWS's shared provider infrastructure.,Cloud resources provided by a third-party provider over the internet and shared among customers.
What is a private cloud?,Think dedicated cloud environment for one organization.,Cloud infrastructure dedicated to a single organization.
What is a hybrid cloud?,Think connecting on-premises/private resources with public cloud resources.,An environment combining public cloud resources with private or on-premises infrastructure.
What is a migration strategy called rehost?,Think lift and shift.,Moving an application to AWS with minimal changes.
What is refactor in cloud migration?,Think redesign the application to use cloud-native capabilities.,Re-architecting or substantially modifying an application to take advantage of cloud-native features.
What is replatforming?,"Think move it, but make limited optimizations.",Migrating an application while making some changes to take advantage of cloud capabilities without fundamentally changing its architecture.
What is repurchasing in migration?,Think replace the existing solution with a different product.,"Moving to a different product or service, often a SaaS solution."
What is retaining in migration?,Sometimes the workload stays where it is.,Keeping an application in its existing environment.
