Question,Hint,Answer
What port does FTP use for its control connection?,Think about the classic file-transfer protocol and the lower of its two well-known ports.,TCP 21.
What port does FTP use for data in active mode?,FTP has a control channel and a separate data channel.,TCP 20.
What port does SSH use?,Think secure remote command-line access instead of Telnet.,TCP 22.
What port does Telnet use?,"This is the old, unencrypted alternative to SSH.",TCP 23.
What port does SMTP normally use for mail submission from a client to a mail server?,Think outgoing email rather than receiving email.,TCP 587 is the standard mail-submission port; TCP 25 is traditionally used for SMTP server-to-server traffic.
What port does DNS use?,This service translates names such as example.com into IP addresses.,UDP 53 is normally used for queries; TCP 53 is also used when required.
What port does DHCP use?,"DHCP has to work before a client normally has an IP address, so it uses UDP.",UDP 67 for the server and UDP 68 for the client.
What port does HTTP use?,Think ordinary unencrypted web traffic.,TCP 80.
What port does HTTPS use?,This is HTTP protected by TLS.,TCP 443.
What port does POP3 use?,POP3 downloads email from a mail server.,TCP 110; secure POP3 commonly uses TCP 995.
What port does IMAP use?,IMAP keeps email synchronized on the server instead of simply downloading it.,TCP 143; secure IMAP commonly uses TCP 993.
What port does SNMP use?,Think network monitoring and management.,UDP 161 for queries; UDP 162 is commonly used for traps.
What port does LDAP use?,Think directory services such as centralized user information.,TCP/UDP 389; LDAPS commonly uses TCP 636.
What port does SMB use?,Think Windows file and printer sharing.,TCP 445.
What port does RDP use?,Think Microsoft remote desktop.,TCP/UDP 3389.
What ports are associated with NetBIOS?,Think older Windows networking and NetBIOS name/session services.,"UDP 137 and 138, plus TCP 139."
What port does NTP use?,Think keeping computers' clocks synchronized.,UDP 123.
What port does SIP commonly use for VoIP signaling?,"SIP is the signaling portion of many VoIP systems, not the actual voice stream.",UDP/TCP 5060; SIP over TLS commonly uses TCP 5061.
What protocol usually carries the actual audio in a VoIP call?,SIP sets up the call; something else carries the media.,"RTP, commonly using dynamically negotiated UDP ports."
What is TCP used for?,"Think reliability: acknowledgments, sequencing, and retransmission.","TCP is connection-oriented and provides reliable, ordered delivery."
What is UDP used for?,Think speed and low overhead where an application can tolerate lost packets.,UDP is connectionless and does not guarantee delivery or ordering.
Why might VoIP prefer UDP over TCP?,Imagine a voice packet arriving three seconds late after a retransmission.,"Real-time voice usually benefits more from low latency than perfect delivery, so UDP is commonly used."
What is an IP address?,Think of it as the logical address used to identify a network interface.,An IP address identifies a device/interface at Layer 3 and allows traffic to be routed.
What is a MAC address?,This lives closer to the network interface hardware than an IP address does.,A MAC address is a Layer 2 hardware/interface address used for local network communication.
What is a subnet mask used for?,It tells the computer which portion of an IPv4 address represents the network.,It determines the network and host portions of an IPv4 address.
What is a default gateway?,"If your computer wants to reach something outside its local subnet, where does it send the packet?",The default gateway is normally the router used to reach remote networks.
What does DNS do?,You type a website name instead of memorizing an IP address.,DNS resolves names to IP addresses and can perform other name-service functions.
What does DHCP do?,Think of a device joining Wi-Fi and automatically receiving its network settings.,"DHCP dynamically provides settings such as IP address, subnet mask, gateway, and DNS servers."
What does APIPA indicate on a Windows computer?,A Windows client assigned itself an address instead of receiving one normally.,An IPv4 address in 169.254.0.0/16 generally indicates DHCP configuration failed or was unavailable.
What is a private IPv4 address?,These addresses are designed for internal networks and aren't directly routable across the public Internet.,"Private IPv4 ranges are 10.0.0.0/8, 172.16.0.0/12, and 192.168.0.0/16."
What is NAT?,Your whole home network can browse the Internet while using one public IPv4 address.,NAT translates private/internal addresses to public addresses and vice versa.
What is PAT?,"Think NAT, but many devices sharing one public address at the same time.",PAT uses port numbers to allow multiple internal connections to share a public IP address.
What is IPv6 used for?,IPv4 has a limited address space; IPv6 dramatically expands it.,IPv6 provides a much larger address space and additional networking capabilities.
What is a /24 IPv4 subnet equivalent to?,How many bits are normally allocated to the network in a traditional Class C-sized subnet?,"255.255.255.0, providing 256 total addresses and typically 254 usable host addresses."
What is the purpose of a VLAN?,Imagine separating accounting computers from guest computers even though they use the same physical switch.,A VLAN logically separates Layer 2 networks.
