,,
Question,Hint,Answer
What are the three components of an Azure RBAC role assignment?,"Think who gets access, what they can do, and where it applies.","Security principal, role definition, and scope."
What is a security principal in Azure RBAC?,Think who receives the permissions.,"A user, group, service principal, or managed identity."
What is a role definition in Azure RBAC?,Think the permissions themselves.,A collection of permissions defining which actions a principal can perform.
What are the four common Azure RBAC scopes?,Think from broadest to narrowest.,"Management group, subscription, resource group, and resource."
"If a role is assigned at the resource-group scope, what resources does it affect?",Permissions flow downward through the hierarchy.,The resource group and its child resources.
What is the difference between Owner and Contributor?,The important difference is access management.,Owner can manage resources and assign RBAC roles; Contributor can manage resources but cannot assign RBAC roles.
What can the Reader role do?,Think view without modification.,View Azure resources but not modify them.
What is the User Access Administrator role used for?,Think permissions rather than resource management.,Managing user access to Azure resources.
What is a Microsoft Entra dynamic group?,Membership isn't manually maintained.,Membership is automatically determined by rules based on user or device attributes.
What is a Microsoft Entra guest user?,Think someone outside your organization.,An external identity invited into your Microsoft Entra tenant.
What does self-service password reset (SSPR) allow users to do?,Think password recovery without calling an administrator.,Reset their own Microsoft Entra password when configured and authorized.
What is Microsoft Entra ID?,Think Microsoft's cloud identity platform.,Microsoft's cloud-based identity and access management service.
What is Azure Policy used for?,Think enforce organizational requirements.,"To enforce, audit, or remediate resource configurations according to organizational rules."
What is the difference between Azure Policy and Azure RBAC?,One controls configuration compliance; the other controls access.,Azure Policy evaluates resource configuration and compliance; Azure RBAC controls who can perform actions on resources.
What does the Azure Policy 'Deny' effect do?,Think block the operation.,Prevents a resource operation when it violates the policy.
What does the Azure Policy 'Audit' effect do?,Think allow it but record the violation.,Allows the operation but records the resource as noncompliant.
What does the Azure Policy 'Modify' effect do?,Think automatically change the resource.,Adds or updates resource properties to bring resources toward compliance.
What is an Azure resource lock used for?,Think protection against accidental operations.,To prevent accidental deletion or modification of Azure resources.
What is the difference between CanNotDelete and ReadOnly locks?,One blocks deletion; the other is much more restrictive.,CanNotDelete prevents deletion but allows modifications; ReadOnly prevents modification and deletion.
What is the Azure resource hierarchy?,Think from organization-wide governance down to an individual resource.,Management groups → subscriptions → resource groups → resources.
What is an Azure resource group?,Think logical management container.,A logical container for related Azure resources.
Can resources in the same resource group exist in different Azure regions?,Resource groups aren't geographic boundaries.,Yes.
What happens to resources when their resource group is deleted?,Deleting the container has consequences for its contents.,The resources contained in the resource group are deleted.
What is an Azure subscription used for?,"Think billing, access, quotas, and resource organization.",A management and billing boundary containing Azure resources.
