Question,Hint,Answer
What does the CIA Triad mean?,"Think about what security is trying to protect: data secrecy, correctness, and access.","Confidentiality, Integrity, and Availability."
What does confidentiality protect against?,Think: who is allowed to see the data?,Unauthorized disclosure of information.
What does integrity protect against?,Think: has the data been changed or tampered with?,Unauthorized modification or destruction of data.
What does availability ensure?,Think: can authorized users get to the resource when they need it?,Systems and data are accessible to authorized users when needed.
What is non-repudiation?,Think: preventing someone from denying that they performed an action.,Assurance that a party cannot credibly deny performing an action or transaction.
What is authentication?,Think: proving who you are.,Verifying the identity of a subject.
What is authorization?,Think: what are you allowed to do after you're identified?,Determining what an authenticated subject is permitted to access or perform.
What is accounting in security?,Think: keeping track of what happened.,Recording and tracking user or system activity.
What is AAA?,"Three things: prove identity, determine permissions, and track activity.","Authentication, Authorization, and Accounting."
What is the difference between identification and authentication?,One claims an identity; the other proves it.,Identification claims an identity; authentication verifies it.
What is multifactor authentication (MFA)?,It requires factors from more than one category.,Authentication using two or more different factor types.
What are the three authentication factor categories?,"Know, have, and are.","Something you know, something you have, and something you are."
What is a knowledge factor?,You can memorize it.,"Something you know, such as a password or PIN."
What is a possession factor?,You physically possess it.,"Something you have, such as a hardware token or smart card."
What is an inherence factor?,It is a physical characteristic of you.,"Something you are, such as a fingerprint or retina."
What is geolocation as an authentication factor?,Think about where the user is.,"Something you are, or a location-based factor depending on the authentication system."
What is geofencing?,Think geographic boundaries enforced by technology.,Using geographic boundaries to trigger or restrict actions.
What is least privilege?,Give users only what they actually need.,Providing only the minimum permissions necessary to perform required tasks.
What is the principle of need to know?,"Even if someone has access, they don't automatically need every piece of information.",Access to information is limited to what a subject requires to perform its duties.
What is separation of duties?,Don't give one person every step of a sensitive process.,Dividing critical responsibilities among multiple people.
What is job rotation?,People periodically switch responsibilities.,Rotating employees between roles to reduce fraud risk and improve detection.
What is zero trust?,The key idea is not trusting something merely because it is inside the network.,"A security model that continuously verifies users, devices, and access rather than inherently trusting them."
"What does 'never trust, always verify' describe?",This is the classic phrase for a security architecture.,Zero trust.
What is control risk?,Think about whether a security control actually works.,The risk that a security control is ineffective or insufficient.
What is a preventive control?,It tries to stop the bad event before it happens.,A control designed to prevent an incident from occurring.
What is a detective control?,It finds something that has already happened or is happening.,A control designed to identify an event or incident.
What is a corrective control?,It fixes the problem after detection.,A control designed to remediate or repair an issue.
What is a deterrent control?,It tries to convince an attacker not to try.,A control intended to discourage unwanted behavior.
What is a compensating control?,It provides an alternative when the preferred control cannot be implemented.,An alternative control that provides equivalent or similar protection.
What is a directive control?,It tells people what they are required to do.,A control that directs or mandates behavior.
What is a technical control?,Implemented with technology.,A security control implemented through hardware or software.
What is an administrative control?,"Think policies, procedures, and management decisions.","A control based on policies, procedures, standards, or management actions."
What is a physical control?,"Think doors, cameras, and barriers.","A control that physically protects people, facilities, or systems."
What is defense in depth?,Don't rely on one security mechanism.,Using multiple layers of security controls to protect assets.
What is a honeypot?,It is intentionally attractive to attackers.,A system designed to attract and detect attackers.
What is a honeynet?,Think multiple honeypots working together.,A network of decoy systems designed to attract and monitor attackers.
What is a honeyfile?,The decoy is a file rather than a machine.,A deliberately created file used to detect unauthorized access.
What is a honeypot primarily used for?,It is more about detection and intelligence than normal production work.,Detecting and studying unauthorized activity.
